"Metro Area",Year,"OneD Index","Economic Prosperity Index","Educational Preparedness Index","Social Equity Index","Quality of Life Index","Regional Transit Index"
"Washington-Baltimore-Northern Virginia, DC-MD-VA-WV",2011,2.97,1.49,4.22,3.88,3.48,1.8
"Albany-Schenectady-Amsterdam, NY",2012,2.31,0.89,2.7,2.92,3.38,1.65
"Atlanta-Sandy Springs-Gainesville, GA-AL",2012,2.08,1.3,2.97,2.43,2.16,1.53
"Austin-Round Rock-Marble Falls, TX",2012,2.58,1.69,3.78,2.55,3.25,1.64
"Birmingham-Hoover-Cullman, AL",2012,1.61,1.17,2.02,1.75,1.85,1.28
"Boston-Worcester-Manchester, MA-RI-NH",2012,2.82,3.07,3.71,2.09,3.34,1.89
"Buffalo-Niagara-Cattaraugus, NY",2012,2.03,0.61,2.9,2.25,2.81,1.57
"Charlotte-Gastonia-Salisbury, NC-SC",2012,1.96,1.22,2.63,2.1,2.44,1.42
"Chicago-Naperville-Michigan City, IL-IN-WI",2012,2.43,2.12,3.38,2.43,2.19,2.01
"Cincinnati-Middletown-Wilmington, OH-KY-IN",2012,2.05,1.47,2.97,2.22,2.26,1.31
"Cleveland-Akron-Elyria, OH",2012,1.76,1.27,2.71,1.95,1.6,1.26
"Columbus-Marion-Chillicothe, OH",2012,2.09,1.1,3.26,2.23,2.54,1.31
"Dallas-Fort Worth, TX",2012,2.28,2.22,3,2.65,2.09,1.46
"Dayton-Springfield-Greenville, OH",2012,1.92,0.78,2.46,2.36,2.72,1.26
"Denver-Aurora-Boulder, CO",2012,2.52,1.88,3.48,2.62,2.95,1.68
"Detroit-Warren-Flint, MI",2012,1.93,1.92,2.6,2.14,1.69,1.33
"Fresno-Madera, CA",2012,1.43,0.05,1.93,2.05,1.53,1.58
"Grand Rapids-Muskegon-Holland, MI",2012,2.17,0.88,2.82,3.04,2.74,1.34
"Greensboro-Winston-Salem-High Point, NC",2012,1.63,0.64,1.8,2.21,2.22,1.29
"Greenville-Spartanburg-Anderson, SC",2012,1.57,0.66,1.77,2.08,2.13,1.22
"Hartford-West Hartford-Willimantic, CT",2012,2.47,1.97,3.21,2.77,2.9,1.51
"Houston-Baytown-Huntsville, TX",2012,2.4,3.56,2.74,2.27,1.94,1.47
"Indianapolis-Anderson-Columbus, IN",2012,2.01,1.72,2.77,2.37,1.86,1.31
"Jacksonville, FL",2012,1.42,1.58,-99,-99,2.61,0.06
"Kansas City-Overland Park-Kansas City, MO-KS",2012,2.27,1.93,3.31,2.8,1.96,1.34
"Knoxville-Sevierville-La Follette, TN",2012,1.73,0.95,2.07,1.96,2.38,1.29
"Las Vegas-Paradise-Pahrump, NV",2012,1.72,1.52,1.24,2.92,1.51,1.38
"Los Angeles-Long Beach-Riverside, CA",2012,2.14,1.89,2.55,2.35,1.73,2.2
"Louisville-Jefferson County-Elizabethtown-Scottsburg, KY-IN",2012,1.08,2.1,-99,-99,1.15,0
"Memphis, TN-MS-AR",2012,0.93,1.65,-99,-99,1.1,0.04
"Miami-Fort Lauderdale-Pompano Beach, FL",2012,1.8,2.35,-99,-99,2.75,0.31
"Milwaukee-Racine-Waukesha, WI",2012,2.05,1.34,3.25,2.22,2.05,1.4
"Minneapolis-St. Paul-St. Cloud, MN-WI",2012,2.8,1.94,4.01,3.03,3.36,1.64
"Nashville-Davidson-Murfreesboro-Columbia, TN",2012,2.19,1.63,3.18,2.24,2.48,1.41
"New Orleans-Metairie-Bogalusa, LA",2012,1.7,1.57,2.07,1.4,2.1,1.36
"New York-Newark-Bridgeport, NY-NJ-CT-PA",2012,2.69,2.43,3.44,1.51,3.22,2.87
"Oklahoma City-Shawnee, OK",2012,1.9,1.15,2.69,2.22,2.07,1.34
"Orlando-Deltona-Daytona Beach, FL",2012,2.11,1.45,2.41,2.71,2.61,1.4
"Philadelphia-Camden-Vineland, PA-NJ-DE-MD",2012,2.5,2.42,3.15,2.16,3.03,1.75
