"OBJECTID","FIPS","FIPS_1","EDU1","EDU1_Z","EDU2","EDU2_Z","EDU3","EDU3_Z","EDU4","EDU4_Z","EDU5","EDU5_Z","EDU6","EDU5_Z1","EDU6_Z","EDU7","EDU7_Z","EDU_COMP","EDU_RANK","EE1","EE1_Z","EE2","EE2_Z","EE3","EE3_Z","EE4","EE4_Z","EE_COMP","EE_RANK","N1","N1_Z","N2","N2_Z","N3","N3_Z","N4","N4_Z","N5","N5_Z","N6","N6_Z","N_COMP","N_RANK","COMP","COMP_RANK","COMP_OPP"
1073,26163550100,,4.956897,0.825712,0,0.608952,4,0.709516,87.746891,1.862287,84.936424,1.338732,72.367603,1.338732,1.824488,13.040806,1.46919,1.234125,5,0,0.946375,110246,2.083637,7.038262,0.84432,-26.635002,-0.629527,0.811201,5,4.639498,0.739096,319300,2.122137,71.926364,0.061543,5.803456,0.755121,-5.464955,-0.029521,1.596958,0.157031,0.634235,5,0.893187,5,"Very High"
1074,26163550200,,13.097199,0.467733,0,0.608952,6.976744,0.470489,73.727648,1.036495,84.936424,1.338732,72.367603,1.338732,1.824488,13.040806,1.46919,1.030869,5,2.904564,0.313314,66838,0.478141,10.615711,0.49691,-23.971755,-0.40208,0.221571,3,9.495708,0.320141,181800,0.463908,54.771784,-0.735472,8.702496,0.572958,-10.868664,-0.03292,1.391466,0.16247,0.125181,3,0.459207,4,"High"
1075,26163550400,,12.8,0.480803,0,0.608952,15.873016,-0.243863,78.389831,1.311117,84.936424,1.338732,72.367603,1.338732,1.824488,13.040806,1.46919,0.969917,5,0,0.946375,70857,0.626789,6.072874,0.938069,-23.03758,-0.322299,0.547233,4,9.677419,0.304464,217900,0.899268,75.382653,0.222125,7.567917,0.64425,-3.975311,-0.028584,2.726146,0.127144,0.361444,4,0.626198,5,"Very High"
1076,26163550500,,13.255034,0.460792,2.531646,0.345085,10.970464,0.149802,85.907106,1.753916,84.936424,1.338732,72.367603,1.338732,1.824488,13.040806,1.46919,1.048858,5,0.523169,0.832348,125700,2.655222,12.192569,0.34378,-21.297027,-0.173652,0.914424,5,9.041468,0.359329,327400,2.219822,89.536622,0.879729,6.495507,0.711636,-4.052123,-0.028633,1.395224,0.162371,0.717376,5,0.893553,5,"Very High"
1077,26163550600,,0,1.043697,0,0.608952,7.627119,0.418266,91.42696,2.079058,84.936424,1.338732,72.367603,1.338732,1.824488,13.040806,1.46919,1.254626,5,0.915565,0.746824,133083,2.928291,5.156538,1.027056,-21.530339,-0.193578,1.127148,5,7.088847,0.527786,555400,4.969469,95.116989,1.138997,1.155378,1.047187,-8.087045,-0.03117,1.371473,0.163,1.302545,5,1.228106,5,"Very High"
1078,26163550700,,2.240326,0.945176,0,0.608952,5.853659,0.560671,90.373638,2.017013,84.936424,1.338732,72.367603,1.338732,1.824488,13.040806,1.46919,1.252032,5,0.668258,0.800725,101644,1.765482,7.717898,0.77832,-21.290656,-0.173108,0.792855,5,5.460289,0.668285,232600,1.076548,99.140811,1.325947,3.815837,0.880015,-1.49272,-0.027023,0.76746,0.178987,0.683793,5,0.90956,5,"Very High"
1079,26163550900,,5.792683,0.788958,0,0.608952,0,1.030708,86.235012,1.773231,84.936424,1.338732,72.367603,1.338732,1.824488,13.040806,1.46919,1.262037,5,0.553506,0.825736,131250,2.860495,3.041825,1.232418,-20.548775,-0.10975,1.202225,5,10.708402,0.21552,466400,3.896142,95.479705,1.155849,3.021978,0.929898,5.850086,-0.022405,0.422752,0.188111,1.060519,5,1.174927,5,"Very High"
1080,26163551100,,3.524229,0.888715,0,0.608952,0,1.030708,81.812899,1.51275,84.936424,1.338732,72.367603,1.338732,1.824488,13.040806,1.46919,1.239076,5,0.593952,0.816921,101500,1.760156,7.436319,0.805664,-25.0709,-0.49595,0.721698,5,4.437564,0.756517,283700,1.692807,95.896328,1.175206,4.458731,0.839618,-6.898633,-0.030423,0.672372,0.181504,0.769205,5,0.909993,5,"Very High"
1081,26163551200,,2.792793,0.920881,0,0.608952,9.94152,0.232424,86.786672,1.805726,84.936424,1.338732,72.367603,1.338732,1.824488,13.040806,1.46919,1.171485,5,1.314924,0.659782,88177,1.267389,5.653207,0.978824,-22.879153,-0.308769,0.649306,5,6.111111,0.612137,176000,0.39396,92.636423,1.023748,3.20595,0.918338,0.239153,-0.025934,1.379849,0.162778,0.514171,5,0.778321,5,"Very High"
1082,26163551300,,31.038961,-0.321275,9.170306,-0.346847,22.270742,-0.757587,66.005553,0.581632,84.936424,1.338732,72.367603,1.338732,1.824488,13.040806,1.46919,0.54119,4,1.255981,0.672629,39024,-0.550592,12.850972,0.279842,-31.287942,-1.026899,-0.156255,2,16.566866,-0.289902,110300,-0.398372,72.787081,0.101532,14.1943,0.227876,-1.170796,-0.026821,3.748981,0.100071,-0.047603,2,0.112444,3,"Moderate"
