OBJECTID,FIPS,NAMELSAD10,Childhood Poverty,High School Dropout Rate,"Persons 16-19 No HS Diploma, Unemployed",High school Completion,"Reading, School proficiency rates of three nearest in-district primary schools","Math, School proficiency rates of three nearest in-district primary schools",Percent of students receiving free or reduced price lunches,Percent of households receiving a form of public assistance,Median Household Income,Unemployment Rate,Change in jobs within a 5 mile radius,Vacant Property,Property Values,Homeownership rates,Poverty Rates,Percent change in population from 2000-2010.,Kirwan Opportunity Index,Kirwan Opportunity Index Ordinal Categories
647,26099231100,Census Tract 2311,6.58858,0.719424,16.546763,57.177517,76.362031,51.507082,23.328849,4.185162,43423,9.399773,-13.887972,7.016509,124600,65.504122,5.859375,5.261678,0.289277,High
648,26099231400,Census Tract 2314,26.823876,8.099688,7.788162,50.603895,67.077672,41.772779,49.114154,3.689636,62161,12.710409,-19.715072,5.097837,165600,91.644059,17.8247,-1.306499,0.188904,Moderate
649,26099231500,Census Tract 2315,29.439252,0,21.505376,47.594142,67.077672,41.772779,49.114154,3.278689,59583,16.581532,-24.286866,1.338539,173900,91.520633,17.5386,-2.38404,0.122368,Moderate
650,26099231600,Census Tract 2316,28.883495,14.335664,10.48951,51.869316,67.077672,41.772779,49.114154,5.512679,47222,12.26147,-23.818834,11.89898,153300,65.711136,16.6746,4.079732,-0.061815,Low
651,26099231800,Census Tract 2318,3.091558,8.292683,19.02439,60,67.077672,41.772779,49.114154,0.962773,65240,10.340256,-26.358461,4.299754,168300,91.848524,4.699803,-3.687212,0.302624,High
652,26099231900,Census Tract 2319,0,0,0,56.841856,67.077672,41.772779,49.114154,3.938053,62385,14.908486,-25.989289,1.266929,161500,83.80531,3.800558,-6.926074,0.310459,High
653,26099232000,Census Tract 2320,0,0,10.526316,49.588235,67.077672,41.772779,49.114154,0,56853,7.841031,-15.828141,3.79902,170000,97.070064,3.139968,8.665678,0.459014,High
654,26099232200,Census Tract 2322,7.539683,0,22.916667,61.438646,67.077672,41.772779,49.114154,4.429783,51118,16.36524,-26.86654,4.371338,152400,65.504241,6.448247,-1.542827,0.078873,Moderate
655,26099232300,Census Tract 2323,36.570862,0,10.958904,51.313009,67.077672,41.772779,49.114154,3.938265,48393,12.86526,-24.66977,10.353053,157500,53.539117,22.0484,1.101168,-0.027858,Moderate
656,26099232400,Census Tract 2324,38.87218,6.569343,30.291971,53.298994,67.077672,41.772779,49.114154,5.441527,46863,18.199673,-22.799137,4.859219,148600,68.210024,23.2259,8.64466,-0.141982,Low
657,26099232500,Census Tract 2325,3.26087,0,24.827586,67.773307,76.362031,51.507082,23.328849,0,96154,14.984825,-15.07866,5.310881,187300,99.384405,3.666443,4.430783,0.630566,Very High
658,26099233000,Census Tract 2330,7.644306,0,14.285714,65.368075,76.362031,51.507082,23.328849,3.523035,65000,8.043217,-15.161627,3.403141,185700,88.437218,5.980985,1.219219,0.522236,High
659,26099240000,Census Tract 2400,35.242291,24.271845,6.796117,49.624374,76.713948,50.791801,34.75838,11.96199,35290,15.696203,-15.482392,9.874055,56300,62.213527,25.6714,-18.522252,-0.257656,Low
660,26099240500,Census Tract 2405,21.227197,19.417476,49.514563,60,75.621371,40.046454,24.037922,6.813996,45662,13.527851,-15.277253,8.816121,83200,85.72744,14.3247,-28.148012,-0.079494,Low
661,26125123000,Census Tract 1230,30.584708,8.823529,16.911765,54.658019,72.40094,47.110942,39.729804,0.941176,61667,11.861472,-17.57976,8.993576,215300,89.764706,18.2427,-20.324775,0.275436,High
662,26125123100,Census Tract 1231,5.317769,0,17.391304,69.311377,80.387629,39.148454,36.432237,1.541624,89152,12.548015,-17.57976,4.701273,239000,100,4.671338,-2.171572,0.601358,Very High
663,26125124000,Census Tract 1240,6.945681,10.037175,5.204461,58.675921,72.40094,47.110942,39.729804,0.878099,72419,10.138741,-14.990028,7.853403,190500,91.580579,4.079641,33.179455,0.488806,High
664,26125124500,Census Tract 1245,19.842829,0,27.35426,52.576821,72.40094,47.110942,39.729804,3.182214,51757,13.671753,84.976239,7.90847,115400,73.408893,14.5921,0.176345,0.851688,Very High
665,26125125000,Census Tract 1250,14.304291,5.045872,8.256881,61.906762,72.40094,47.110942,39.729804,3.327645,82361,13.994638,-11.063805,7.424961,208300,92.74744,9.365994,3.959846,0.474421,High
666,26125126200,Census Tract 1262,2.8,2.234637,19.553073,75.292154,81.329183,57.775624,19.374382,0,94947,8.931083,-16.991762,0,239700,98.362445,2.913709,10.630106,0.788037,Very High
667,26125126300,Census Tract 1263,16.801292,0,17.894737,70.999276,81.329183,57.775624,19.374382,1.968974,63063,10.689354,-13.055912,9.307359,179800,85.143198,13.4045,1.767218,0.489921,High
668,26125126400,Census Tract 1264,5.977584,0,10.994764,65.405405,81.329183,57.775624,19.374382,0,80089,4.531722,-13.342108,3.994083,211900,92.526965,2.944476,-1.863043,0.760612,Very High
669,26125126500,Census Tract 1265,0,17.350158,17.0347,70.784884,81.329183,57.775624,19.374382,1.104972,96719,16.787104,-10.744923,8.431703,235100,94.475138,0.728376,12.176111,0.637084,Very High
670,26125127100,Census Tract 1271,3.380663,3.91198,11.246944,83.667858,81.329183,57.775624,19.374382,1.480263,118220,10.27668,-21.515414,5.882353,295000,93.640351,3.114694,-1.069117,0.832523,Very High
671,26125127200,Census Tract 1272,14.425428,3.636364,21.818182,83.68984,81.329183,57.775624,19.374382,0.638978,78553,6.696935,-23.630861,12.934631,298200,84.025559,7.020757,-5.743866,0.604541,Very High
672,26125127300,Census Tract 1273,10.964912,11.406844,11.026616,69.1734,81.329183,57.775624,19.374382,4.005935,53350,14.249896,-21.99985,8.754513,213800,64.193867,10.5385,6.28353,0.289215,High
673,26125127500,Census Tract 1275,9.410492,0,32.068966,74.573055,81.329183,57.775624,19.374382,0.565657,66997,7.273281,-18.515445,2.48227,192600,85.777778,5.908028,1.076775,0.556912,Very High
674,26125127600,Census Tract 1276,1.484716,0,17.117117,82.749787,81.329183,57.775624,19.374382,0.825083,109722,7.901359,-27.484612,8.803612,326000,93.481848,2.544596,51.814453,0.802956,Very High
675,26125127700,Census Tract 1277,16.721097,0,9.235669,58.909274,81.329183,57.775624,19.374382,1.443464,51853,10.713164,-28.37429,4.918033,113000,70.048115,11.5141,1.370416,0.29917,High
676,26125128000,Census Tract 1280,2.689487,7.2,7.2,72.224846,84.456046,58.996395,19.637071,1.431127,78452,11.745514,-29.904646,8.134758,182100,93.381038,4.974651,5.484976,0.524129,High
677,26125128100,Census Tract 1281,16.487936,0,0,71.855984,84.456046,58.996395,19.637071,1.912046,73043,7.889546,135.17955,10.368466,226100,91.6826,6.772087,-3.318973,1.747219,Very High
678,26125128300,Census Tract 1283,12.694064,0,18.518519,70.481283,84.456046,58.996395,19.637071,0.340329,57375,10.727808,-25.893284,11.894053,157700,67.04481,9.801606,-6.899669,0.354956,High
679,26125128400,Census Tract 1284,26.091174,1.260504,0,68.06438,84.456046,58.996395,19.637071,0,47969,5.700055,-21.431224,0,195600,74.829001,16.8622,9.497465,0.521579,High
